Go.	Gå!
Hi.	Hej!
Hi.	Hej.
Run!	Løb!
Run.	Løb!
Wow!	Wow!
Fire!	Fyr!
Fire!	Ildebrand!
Help!	Hjælp!
Stop!	Stop!
Hello!	Hej.
Attack!	Angrib!
Cheers!	Tak!
Cheers!	Skål!
Go now.	Gå nu!
He ran.	Han løb.
Hop in.	Hop ind!
I lied.	Jeg har løjet.
No way!	Aldrig i livet!
No way!	Ikke tale om!
No way!	Absolut ikke!
No way!	Under ingen omstændigheder!
No way!	Aldrig i verden!
No way!	Ikke på vilkår!
No way!	Du kan tro nej!
No way!	Du kan bande på nej!
No way!	Niksen biksen!
No way!	Nul, putte!
No way!	Det kan du glemme alt om!
No way!	På ingen måde!
No way!	Det er ikke muligt.
Really?	Virkelig?
Really?	Er det rigtigt?
Really?	Ja så!
Really?	Nej virkelig?
Really?	Så?
Thanks.	Tak!
Thanks.	Tak.
Why me?	Hvorfor mig?
Ask Tom.	Spørg Tom!
Ask Tom.	Spørg Tom.
Call me.	Ring til mig.
Get Tom.	Hent Tom.
Go away!	Gå din vej!
Go away!	Forsvind med dig!
Help me!	Hjælp mig!
Help me.	Hjælp mig.
I agree.	Jeg er enig.
I'm shy.	Jeg er genert.
It's me.	Det er mig.
Perfect!	Perfekt!
See you!	Vi ses!
See you.	Vi ses!
See you.	Vi ses.
Show me.	Vis mig!
Shut up!	Hold mund!
Shut up!	Ti stille!
Shut up!	Klap i!
Shut up!	Hold kæft!
We lost.	Vi tabte.
We lost.	Vi har tabt.
Welcome.	Velkommen!
Welcome.	Velkommen.
You won.	Du vandt.
You won.	Du har vundet.
Be quiet.	Ti stille!
Be still.	Vær stille.
Be still.	Vær stille!
Be still.	Vær rolig!
Cheer up!	Op med humøret!
Drive on.	Kør videre.
Get lost!	Gå væk!
Get lost!	Smut!
Get lost!	Gå din vej!
Get lost!	Skrid!
Get lost!	Skrub af!
Get lost!	Forsvind!
Get lost!	Ryg og rejs!
Hurry up.	Skynd dig.
I ate it.	Jeg spiste det.
I'm fair.	Jeg er retfærdig.
I'm fine.	Jeg har det godt.
I'm full.	Jeg er mæt!
I'm full.	Jeg har fået nok!
I'm here.	Jeg er her.
I'm here.	Jeg er her!
I'm high.	Jeg er høj.
I'm high.	Jeg er skæv.
I'm home.	Jeg er hjemme.
I'm lost.	Jeg er faret vild.
I'm poor.	Jeg er fattig.
It's new.	Den er ny.
It's new.	Det er nyt.
Leave it.	Lad den være.
Leave it.	Lad det være.
Leave me.	Forlad mig.
Leave us.	Forlad os.
Let's go!	Af sted!
Let's go!	Lad os gå!
Let's go!	Kom, så går vi!
Let's go!	Hæng i!
Marry me.	Gift dig med mig.
Sit down!	Sid ned!
Tom came.	Tom kom.
Tom died.	Tom døde.
Tom lied.	Tom løj.
Tom wept.	Tom græd.
Trust me.	Stol på mig.
Use this.	Anvend dette.
Use this.	Anvend denne.
Use this.	Anvend den her.
Use this.	Anvend det her.
Warn Tom.	Advar Tom.
We agree.	Vi er enige.
Who's he?	Hvem er han?
Write me.	Skriv til mig.
Write me.	Skriv til mig!
After you.	Efter jer.
After you.	Efter dig.
Aim. Fire!	Sigt. Skyd!
Answer me.	Svar mig.
Birds fly.	Fugle flyver.
Calm down!	Tag det roligt!
Calm down!	Hids dig ned!
Calm down.	Tag det roligt!
Calm down.	Slap af!
Come back.	Kom tilbage!
Cool down.	Slap af!
Do it now.	Gør det nu!
Don't die.	Dø ikke.
Excuse me.	Undskyld mig.
Fantastic!	Fantastisk!
Follow us.	Følg os!
Forget it.	Glem det.
He is ill.	Han er syg.
He's a DJ.	Han er dj.
He's a DJ.	Han er DJ.
Here I am.	Her er jeg.
Hold this.	Hold det her!
I am cold.	Jeg fryser.
I am fine.	Jeg har det godt.
I am lost.	Jeg er slet ikke med.
I am sick.	Jeg er syg.
I can fly.	Jeg kan flyve.
I cringed.	Jeg krøb sammen.
I fear so.	Det er jeg bange for.
I laughed.	Jeg lo.
I promise.	Det lover jeg!
I saw him.	Jeg så ham.
I saw you.	Jeg så dig.
I'm a man.	Jeg er en mand.
I'm angry.	Jeg er vred.
I'm awake.	Jeg er vågen.
I'm bored.	Jeg keder mig.
I'm broke.	Jeg er helt flad.
I'm broke.	Jeg er blottet for penge.
I'm broke.	Jeg er helt blanket af.
I'm broke.	Jeg er bankerot.
I'm clean.	Jeg er ren.
I'm drunk.	Jeg er beruset.
I'm dying.	Jeg dør.
I'm going.	Jeg går.
I'm happy.	Jeg er lykkelig.
I'm sorry.	Undskyld!
I'm sorry.	Jeg beklager!
I'm tired.	Jeg er træt.
I'm tired.	Jeg er træt!
Is it red?	Er det rødt?
Is it red?	Er den rød?
It rained.	Det regnede.
It snowed.	Det sneede.
It's 8:30.	Den er 8:30.
It's cold.	Det er koldt.
It's dark.	Det er mørkt.
It's free.	Det er gratis.
It's hard.	Det er hårdt.
It's ours.	Det er vores.
It's over.	Det er overstået.
It's over.	Det er slut.
It's over.	Det er ovre.
It's true!	Det er sandt!
Let me go!	Lad mig gå!
Let's try!	Lad os prøve!
Listen up.	Hør efter!
Of course!	Selvfølgelig!
Of course!	Det manglede bare!
Pipe down!	Klap gællerne i!
Pipe down.	Hold mund!
Pipe down.	Ti stille!
Pipe down.	Klap i!
Start now.	Begynd nu.
Start now.	Start nu.
Stay here.	Bliv her!
Stay here.	Bliv her.
Take mine.	Tag min.
Thank you.	Mange tak.
Thank you.	Tak.
Tom moved.	Tom flyttede.
Tom slept.	Tom sov.
Tom spoke.	Tom talte.
Tom swims.	Tom svømmer.
Turn left.	Drej til venstre.
Wait here.	Vent her.
We waited.	Vi ventede.
We'll see.	Vi får se.
Who is he?	Hvem er han?
Who knows?	Hvem ved?
Who's Tom?	Hvem er Tom?
Am I wrong?	Tager jeg fejl?
Are you up?	Er du stået op?
Ask anyone.	Spørg hvem som helst.
Be careful!	Vær forsigtig!
Be careful.	Vær forsigtig!
Be careful.	Pas på!
Birds sing.	Fugle synger.
Can I help?	Kan jeg være til hjælp?
Can I help?	Kan jeg hjælpe?
Choose one.	Vælg en.
Definitely!	Helt sikkert!
Drink this.	Drik det her!
Duty calls.	Pligten kalder.
Find a job.	Find et job!
Find a job.	Find et arbejde!
Fire burns.	Ild brænder.
Forgive us.	Tilgiv os.
God exists.	Gud eksisterer.
Good night.	God nat.
He is a DJ.	Han er dj.
He is a DJ.	Han er DJ.
He is sick.	Han er syg.
He's cruel.	Han er grusom.
He's lying.	Han lyver.
Here he is!	Her er han!
I am a man.	Jeg er en mand.
I am a man.	Jeg er et menneske.
I am bored.	Jeg keder mig.
I am going.	Jeg går.
I am happy.	Jeg er lykkelig.
I am sorry.	Jeg er ked af det.
I am tired.	Jeg er træt.
I built it.	Jeg byggede det.
I built it.	Jeg har bygget det.
I doubt it.	Det tvivler jeg på.
I eat meat.	Jeg spiser kød.
I feel old.	Jeg føler mig gammel.
I got lost.	Jeg for vild.
I got lost.	Jeg fór vild.
I have one.	Jeg har en.
I have one.	Jeg har én.
I just ate.	Jeg har lige spist.
I just ate.	Jeg har netop spist.
I like you.	Jeg holder af dig.
I love Tom.	Jeg elsker Tom.
I love tea.	Jeg elsker te.
I miss you.	Jeg savner dig.
I need you.	Jeg har brug for dig.
I need you.	Jeg har brug for jer.
I sat down.	Jeg satte mig.
I think so.	Jeg tror det.
I was busy.	Jeg havde travlt.
I was busy.	Jeg var optaget.
